Power Plant ,Plant Key ,Technology Type ,Operating Capacity,Net Generation,Capacity Factor (%),Heat Rate for Electricity (Btu/kWh),Non-Fuel Variable O&M Cost ($),Fuel Costs ($),Fixed O&M Cost ($),Total Operating & Maintenance Expense ($),Primary Fuel Type ,Marginal Price
Davis-Besse,-14175,Nuclear,908,7893891,99.24,10400,55653106.63,66046592.8,71864077.9,193563777.3,Nuclear,15.41694703
DC Port Reading Solar,-65057,Solar,1.8,2422,15.36,NA,0,0,47583.58,47583.58,Solar,0
DC Water CHP,-75022,Gas Turbine,13.8,30998,45.88,13280.15,43505.57,1362215.4,42089.61,1447810.58,Biomass,45.34876347
DD Hay Road Solar 23,-90039,Solar,1.2,952,13.49,NA,0,0,21293.11,21293.11,Solar,0
Dean Drive,-13342,Internal Combustion,3.2,102,0.36,9049.02,41569.57,11081.28,37012.01,89662.86,Oil,516.1848039
Deep Creek,-111454,Hydraulic Turbine,18,25702,16.3,NA,609395.87,0,457567.49,1066963.35,Water,23.71005642
Deep Creek,-111453,Hydraulic Turbine,18,25702,16.3,NA,609395.87,0,457567.49,1066963.35,Water,23.71005642
Deer Creek (Clean Energy Solar Pilot Project),-86333,Solar,2.5,NA,NA,NA,NA,NA,5612.98,NA,Solar,#VALUE!
Deercroft Gas Recovery,-10764,Internal Combustion,6.4,26141,46.63,12285.34,426206,201998,8753,636957,Biomass,24.03136835
Delaware City,-98540,Steam Turbine,135,328164,27.75,5951.43,4292692.45,1564634.53,3321679.04,9179006.02,Other Nonrenewable,17.84877982
Delaware City,-98539,Steam Turbine,135,328164,27.75,5951.43,4292692.45,1564634.53,3321679.04,9179006.02,Other Nonrenewable,17.84877982
Delaware City 10,-63211,Gas Turbine,18,90,0.06,23955.56,22321.64,25647.25,198048.57,246017.45,Oil,532.9876667
Delaware City CT,-98553,Gas Turbine,144,876571,69.49,13662.48,1230263.89,34873398.42,484881.84,36588544.16,Gas,41.18737936
Delaware City CT,-98552,Gas Turbine,144,876571,69.49,13662.48,1230263.89,34873398.42,484881.84,36588544.16,Gas,41.18737936
Delaware County Resource Recovery Facility,-9761,Steam Turbine,80,594286,84.8,18801.59,3624479.7,76281730.92,1504241.38,81410452,Biomass,134.4575013
Delaware CT,-109224,Gas Turbine,74,1983,0.31,13768.03,133989.38,326932.7,365801.28,826723.36,Oil,232.4367524
Delsea Road (Vineland IV),-25220,Solar,3.1,5610,20.66,NA,0,0,81949.5,81949.5,Solar,0
Deptford -Solar,-11848,Solar,0.06,NA,NA,NA,NA,NA,1586.12,NA,Solar,#VALUE!
Deptford Solar Project (Kinsley Landfill),-68393,Solar,8.6,12356,16.4,NA,0,0,227343.77,227343.77,Solar,0
Des Plaines Landfill,-16774,Internal Combustion,3.6,0,0,11815.4,0,0,32337.58,32337.58,Biomass,#DIV/0!
Dickerson,-106213,Steam Turbine,519,518992,11.42,11724.53,4667366.16,19792455.1,13270642.47,37730463.73,Coal,47.12947649
Dickerson CT,-106215,Gas Turbine,352,348967,11.32,11854.95,617534.74,8117770.25,1219784.94,9955089.93,Gas,25.0318941
Dicks Creek,-88857,Gas Turbine,172.3,2809,0.19,22254.18,245154.06,176949.8,677796.43,1099900.29,Gas,150.2683731
Diesel Group 2,-12595,Internal Combustion,4,187,0.53,9310.16,48466.41,20977.78,44315.94,113760.12,Oil,371.3593048
Diesel Group 3,-12596,Internal Combustion,4,199,0.57,9251.26,48604.39,22162.57,44315.94,115082.9,Oil,355.6128643
Dixon Hydroelectric Dam,-94606,Hydraulic Turbine,3,15991,60.85,NA,236340.36,0,324853.72,561194.08,Water,14.77958602
Dixon Landfill,-16717,Internal Combustion,3.6,27372,86.8,10140.03,355440.04,1010278.36,37090.67,1402809.07,Biomass,49.89472454
Dixon Landfill,-16706,Internal Combustion,3.6,27372,86.8,10140.03,355440.04,1010278.36,37090.67,1402809.07,Biomass,49.89472454
Dogwood Solar Power Project,-77536,Solar,20,38516,21.98,NA,0,0,528706.45,528706.45,Solar,0
Dominion/Lo-Mar Gen,-2971,Internal Combustion,6.8,200,0.34,9340,66331.49,22441.34,78000.83,166773.66,Oil,443.86415
Dominion/Lo-Mar Gen CT,-13145,Gas Turbine,11.1,0,0,12749,0,0,118734.31,118734.31,Oil,#DIV/0!
Donald C. Cook,-2976,Nuclear,2191,15684720,81.72,10400,107951638,146871236,150179504,405002378,Nuclear,16.24656825
Doswell Combined Cycle Facility,-29296,Combined Cycle,752,4500267,68.32,8246.13,3970757.39,148372913.4,8144575.5,160488246.3,Gas,33.8521405
Doswell Peaking Unit,-29285,Gas Turbine,187,228711,13.96,10655.7,337412.51,11101611.7,612984.91,12052009.12,Gas,50.01519039
Dover,-2986,Steam Turbine,23.2,45615,22.44,17495.23,410221.94,2347524.7,304456.76,3062203.4,Coal,60.45701282
Dover - AMP,-2989,Internal Combustion,10.8,394,0.42,10329.95,87366.6,48924.91,132062.14,268353.65,Oil,345.9175381
Dover CT,-2987,Gas Turbine,15.3,266,0.2,19853.38,43189.94,8974.7,116716.25,168880.89,Gas,196.1076692
Dover CT Energy Center,-70684,Gas Turbine,50,22807,5.21,8238.83,82033.5,836726.82,195138.75,1113899.08,Gas,40.28413733
Dover CT Energy Center,-70683,Gas Turbine,50,22807,5.21,8238.83,82033.5,836726.82,195138.75,1113899.08,Gas,40.28413733
Dover Energy Center - Repower CC,-70688,Combined Cycle,66,236919,40.98,8192.07,349982.58,5651597.73,706279.65,6707859.96,Gas,25.33178137
Dover Energy Center - Repower CC,-70687,Combined Cycle,66,236919,40.98,8192.07,349982.58,5651597.73,706279.65,6707859.96,Gas,25.33178137
Dover IC,-2988,Internal Combustion,2.4,75,0.36,10226.67,8565.27,9548.02,1452.24,19565.53,Oil,241.5105333
Dover SUN Park,-17801,Solar,10,17439,19.91,NA,0,0,264353.23,264353.23,Solar,0
Dow Jones Solar Plant,-71470,Solar,4.1,4961,13.81,NA,0,0,108384.82,108384.82,Solar,0
Downs Solar Farm,-83476,Solar,5,569,7.77,NA,0,0,22089.79,22089.79,Solar,0
Downtown,-13574,Internal Combustion,3.2,105,0.37,8790.48,33680.65,10732.82,27266.63,71680.09,Oil,422.9854286
Dresden,-3000,Nuclear,1805,15188358,96.06,10400,98937367.68,127077928,135748651.9,361763947.6,Nuclear,14.88082488
Dresden Energy Facility,-39178,Combined Cycle,625,4144393,75.7,6856.93,8254267,47560892.43,6914776,62729935.43,Gas,13.46763191
Du Page County Region 9 West Wastewater,-3014,Internal Combustion,1.5,87,0.66,4241.38,6519.13,1800.88,7441.58,15761.59,Gas,95.63229885
Eagle Point Cogeneration,-66447,Combined Cycle,225,554772,28.15,9063.11,2084420.93,14640945.4,3866791.4,20592157.73,Gas,30.14818039
Earthmovers Landfill Gas Plant,-19987,Internal Combustion,4.8,38127,90.67,12284.97,599968,350349,461219,1411536,Biomass,24.92504
East Amwell Solar (NJRCEV),-103200,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
East Bend,-84470,Steam Turbine,600,4031692,76.71,10956.14,14122167,97875892.37,19721242,131719301.4,Coal,27.77941851
East Campus Plant,-65535,Gas Turbine,8.4,53948,73.31,11605.47,75715.8,928375.79,37802.66,1041894.25,Gas,18.61221157
East Campus Utility Plant IC,-48122,Internal Combustion,3.2,101,0.36,10910.89,41029.84,13311.48,36362.32,90703.64,Oil,538.0328713
East Campus Utility Plant ST,-48121,Steam Turbine,1.2,0,0,11655,0,0,14354.19,14354.19,Gas,#DIV/0!
East Fork (Marseilles),-55988,Hydraulic Turbine,0.6,NA,NA,NA,NA,NA,9481.55,NA,Water,#VALUE!
Eastampton Solar Farm,-24354,Solar,2.8,3518,14.34,NA,0,0,74018.9,74018.9,Solar,0
Eastern Correctional Institute,-3079,Steam Turbine,2.6,11291,49.57,18946,783593.14,744167.92,540320.23,2068081.29,Biomass,135.3078611
Eastern Correctional Institute IC,-3080,Internal Combustion,2,266,1.52,10327.07,15388.11,30943.96,8839.28,55171.35,Oil,174.1807143
Eastern Landfill,-104473,Internal Combustion,3,1959,7.45,14524.25,59919.06,89278.28,33724.22,182921.57,Biomass,76.15994895
Eastern Landfill,-12787,Internal Combustion,3,1959,7.45,14524.25,59919.06,89278.28,33724.22,182921.57,Biomass,76.15994895
Eastern Wind Farm (Four Mile Ridge),-86895,Wind Turbine,40,126790,36.18,NA,201568.88,0,696002.41,897571.29,Wind,1.589785314
Eastlake CT,-10159,Gas Turbine,29,256,0.1,30925.78,63492.65,94922.69,216369.64,374784.98,Oil,618.8099219
Eastlake Mobile Fuel Cell System,-22344,Fuel Cell,1,NA,NA,8027,NA,NA,0,NA,Biomass,#VALUE!
Easton,-3089,Internal Combustion,31.9,4971,1.78,12036.41,157777.19,716380.56,381145.2,1255302.95,Oil,175.8514886
Easton 2,-3090,Internal Combustion,28,4659,1.9,12057.09,161864.32,672543.29,345294.92,1179702.53,Oil,179.0958596
Easton 2 CT,-12487,Gas Turbine,10.2,1306,1.46,12033.69,24383.28,188172.73,64612.69,277168.7,Oil,162.7534533
Ebensburg Power Company,-95240,Steam Turbine,50,196980,44.97,15020.74,1178020.6,6405833.83,656156.8,8240011.23,Coal,38.50063169
EC-LGES,-13637,Internal Combustion,2.4,12024,57.19,12051.65,169208.85,606285.68,28408.7,803903.23,Biomass,64.49555306
Eco Energy Power Plant,-24425,Steam Turbine,3.8,NA,NA,10474,NA,NA,221627.63,NA,Biomass,#VALUE!
EcoGrove Wind,-84221,Wind Turbine,100.5,275503,31.29,NA,579213.72,0,1858704.5,2437918.22,Wind,2.102386254
EcoGrove Wind,-84220,Wind Turbine,100.5,275503,31.29,NA,579213.72,0,1858704.5,2437918.22,Wind,2.102386254
Eddystone 3-4,-14763,Steam Turbine,760,189560,2.85,16753.52,1993994.12,15431103.94,6372898.09,23797996.15,Oil,91.92391886
Eddystone CT,-3100,Gas Turbine,76,2532,0.38,14484.6,138742.36,443530.1,377992.67,960265.13,Oil,229.9654265
Edenton Generators,-3101,Internal Combustion,2.4,221,1.05,9868.78,21865.14,27598.67,14115.48,63579.28,Oil,223.8181448
Edge Moor 3-4,-20943,Steam Turbine,260,228465,10.03,11766.25,1935803.33,7827718.14,3675904.4,13439425.88,Gas,42.73530506
Edge Moor 5,-20941,Steam Turbine,450,357181,9.06,12033.92,2129139.6,13904043.99,5203348.36,21236531.95,Gas,44.88812
Edge Moor CT,-20942,Gas Turbine,15,0,0,12749,0,0,198041.58,198041.58,Oil,#DIV/0!
Edgecombe Genco,-94604,Steam Turbine,115.6,78478,7.75,14439.42,705763.41,3569647.97,2476263.16,6751674.54,Coal,54.47910727
Edgecombe Genco,-94602,Steam Turbine,115.6,78478,7.75,14439.42,705763.41,3569647.97,2476263.16,6751674.54,Coal,54.47910727
Edgerton,-3106,Internal Combustion,3.6,130,0.41,10261.54,42712.51,16029.53,37740.36,96482.4,Oil,451.8618462
Eldersburg - KHL492,-18932,Solar,0.23,NA,NA,NA,NA,NA,6080.12,NA,Solar,#VALUE!
Electric Avenue,-13769,Internal Combustion,5.4,145,0.31,10820.69,60552.96,17632.48,64082,142267.43,Oil,539.209931
Elgin Energy Center,-71970,Gas Turbine,460,117993,2.93,12276.56,573178.75,4272821.01,1442581.55,6288581.3,Gas,41.07023095
Elizabeth River CT,-9202,Gas Turbine,365,134613,4.21,12154.48,755053,5919350.56,1472191,8146594.56,Gas,49.5821619
Elkhart,-3154,Hydraulic Turbine,2.1,11303,61.44,NA,323311,0,560548,883859,Water,28.60399894
Elkton Facility,-3157,Steam Turbine,2.7,14075,59.51,6122,528232.23,346800.82,64548.43,939581.48,Gas,62.16931083
Elkton IC Cogen,-22661,Internal Combustion,0.8,8,0.11,12000,55.57,1254.48,484.08,1794.14,Gas,163.75625
Elkton Solar Project,-84351,Solar,2,93,6.25,NA,0,0,4490.38,4490.38,Solar,0
Elmwood Park Plant,-108366,Combined Cycle,83,30558,4.2,10259.74,245598.59,1296844.58,2139105.55,3681548.72,Gas,50.47592022
Elwood Energy,-115252,Gas Turbine,1728,568460,3.76,11206.05,2180641.48,18790323.78,5319083.22,26290048.47,Gas,36.8908371
Elwood Energy,-43389,Gas Turbine,1728,568460,3.76,11206.05,2180641.48,18790323.78,5319083.22,26290048.47,Gas,36.8908371
Elwood Energy Battery Storage Center,-108797,Other,19.8,NA,NA,NA,NA,NA,NA,NA,Other Nonrenewable,#VALUE!
Elwood Energy Battery Storage Center,-108796,Other,19.8,NA,NA,NA,NA,NA,NA,NA,Other Nonrenewable,#VALUE!
Elwood Energy Battery Storage Center,-94990,Other,19.8,NA,NA,NA,NA,NA,NA,NA,Other Nonrenewable,#VALUE!
Emporia,-59020,Hydraulic Turbine,2.5,7356,33.59,NA,192616.78,0,126763.6,319380.37,Water,26.18498912
Engelhard Solar,-87685,Solar,1.1,1186,12.31,NA,0,0,29078.85,29078.85,Solar,0
Engle,-3191,Internal Combustion,9,17,0.02,11294.12,9847.87,2230.2,101822.36,113900.42,Oil,710.4747059
Englewood Solar,-18946,Solar,0.1,NA,NA,NA,NA,NA,2643.53,NA,Solar,#VALUE!
Englewood Solar,-13671,Solar,0.1,NA,NA,NA,NA,NA,2643.53,NA,Solar,#VALUE!
Erie Coke Corporation,-3208,Steam Turbine,1.3,5071,44.53,4786,351926.39,7203.83,270160.11,629290.33,Other Nonrenewable,70.8203944
Essex,-3216,Gas Turbine,81,25589,0.84,14015.12,151561.19,2001337.98,381059.63,2533958.8,Gas,84.13377506
Essex County Correctional Facility,-12400,Internal Combustion,6,NA,NA,11075,NA,NA,56952.11,NA,Gas,#VALUE!
Essex County Resource Recovery Facility,-9757,Steam Turbine,60,438136,83.36,20314.25,3054856.81,55689407.56,1424554.12,60168818.49,Biomass,134.0776936
ETS Ewing Solar Facility,-52085,Solar,1.3,2121,18.62,NA,0,0,34365.92,34365.92,Solar,0
ETS Ewing Solar Facility,-52084,Solar,1.3,2121,18.62,NA,0,0,34365.92,34365.92,Solar,0
"Euclid Farm, Stamco N-54",-87608,Wind Turbine,1,666,7.6,NA,4875.81,0,44567.34,49443.15,Wind,7.321036036
Evanston Township High School,-3229,Internal Combustion,2.4,0,0,11075,0,0,22780.84,22780.84,Gas,#DIV/0!
Everetts Wildcat Solar,-85379,Solar,5,8636,19.72,NA,0,0,132176.61,132176.61,Solar,0
Evergreen Community Power Plant,-64919,Steam Turbine,25,93507,42.7,16081.94,671706.33,7389136.67,406566.92,8467409.91,Biomass,86.20577069
Exelon City Solar Project,-17407,Solar,9,14127,17.92,NA,0,0,237917.9,237917.9,Solar,0
Exelon-Conergy Solar Energy Center,-98008,Solar,1.5,3878,29.51,NA,0,0,39652.98,39652.98,Solar,0
Fair Wind Generating Facility,-64680,Wind Turbine,30,10806,24.6,NA,79111.1,0,223447.23,302558.34,Wind,7.32103461
Fairfield at Howell Solar Farm,-41543,Solar,3,NA,NA,NA,NA,NA,79305.97,NA,Solar,#VALUE!
Fairless Hills Steam Generating Station,-3255,Steam Turbine,60,257192,48.93,15122,1989680.01,15617394.83,1170520.05,18777594.89,Biomass,68.45887446
Fairless Works Energy Center,-55337,Combined Cycle,1320.4,6450262,55.77,7162.62,5524668,134532333.4,11801764.07,151858765.4,Gas,21.71338178
Falling Spring,-2372,Internal Combustion,7.1,736,1.18,9820.65,58304.35,25314.08,62467.21,146085.64,Gas,113.6119973
Falling Springs Hydroelectric Project,-15241,Hydraulic Turbine,1,NA,NA,NA,NA,NA,15802.59,NA,Water,#VALUE!
Falls,-3263,Gas Turbine,60,1183,0.23,13811.5,117304.55,196326.88,320055.95,633687.38,Oil,265.1153254
Fayette Energy Facility,-88876,Combined Cycle,665,5244353,90.03,7421.02,3011500.05,66139248.96,6462175.27,75612924.27,Gas,13.18575409
Fayetteville Schools Solar Farm,-80759,Solar,0.99,NA,NA,NA,NA,NA,26170.97,NA,Solar,#VALUE!
FC Landfill Energy Facility,-101282,Internal Combustion,2,8069,46.06,17395.34,116735.82,545856.22,23132.51,685724.55,Biomass,82.1157566
FedEx Field Solar Facility,-107042,Solar,2,2276,12.99,NA,0,0,52870.65,52870.65,Solar,0
FedEx Ground Solar Project,-43036,Solar,2.4,2162,10.28,NA,0,0,63444.77,63444.77,Solar,0
Findlay Wind Farm,-104444,Wind Turbine,3,NA,NA,NA,NA,NA,5487.65,NA,Wind,#VALUE!
Fishbach,-93156,Gas Turbine,36,138,0.04,15057.97,34226.51,25020,249902.34,309148.85,Oil,429.3225362
Fisher Solar Farm,-96548,Solar,5,7078,16.16,NA,0,0,132176.61,132176.61,Solar,0
Fisk Street Jet,-107067,Gas Turbine,263.7,587,0.03,19441.23,145586.67,135832.84,947426.69,1228846.2,Oil,479.4199489
Flanders Solar PV Plant,-59679,Solar,1.4,2086,17.01,NA,0,0,37009.45,37009.45,Solar,0
Flemington Solar,-33338,Solar,7.9,13065,18.88,NA,0,0,208839.05,208839.05,Solar,0
Food Line 1194,-14370,Internal Combustion,0.35,NA,NA,10342,NA,NA,3410.11,NA,Oil,#VALUE!
Forked River,-12919,Gas Turbine,85,5445,0.73,17029.94,124598.36,567881.7,338436.47,1030916.52,Gas,127.1772378
Fort Detrick Solar Facility,-107875,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
Fort Martin,-44804,Steam Turbine,1098,7296430,75.86,10211.22,8687022,176969031.1,23100913,208756966.1,Coal,25.44477958
Forward WindPower LLC,-106657,Wind Turbine,29.4,58865,22.86,NA,284302.55,0,709164.7,993467.25,Wind,4.829738384
Forward WindPower LLC,-103876,Wind Turbine,29.4,58865,22.86,NA,284302.55,0,709164.7,993467.25,Wind,4.829738384
Forward WindPower LLC,-99397,Wind Turbine,29.4,58865,22.86,NA,284302.55,0,709164.7,993467.25,Wind,4.829738384
Fowler Ridge Wind Farm,-55338,Wind Turbine,600.3,1612058,30.66,NA,2786444.29,0,10161152.69,12947596.98,Wind,1.728501264
Fowler Ridge Wind Farm,-38715,Wind Turbine,600.3,1612058,30.66,NA,2786444.29,0,10161152.69,12947596.98,Wind,1.728501264
Fowler Ridge Wind Farm,-14026,Wind Turbine,600.3,1612058,30.66,NA,2786444.29,0,10161152.69,12947596.98,Wind,1.728501264
Fox Metro Water Reclamation District,-3396,Internal Combustion,2.2,11,0.06,4181.82,6372.15,135.69,11477.38,17985.22,Gas,591.6218182
FPL Energy Illinois Wind (De Kalb),-18233,Wind Turbine,217.5,667521,35.04,NA,1105883.86,0,3802254.79,4908138.66,Wind,1.656702725
Frank M Tait GT,-30259,Gas Turbine,304,46135,1.73,12700.01,557278,2265102.63,47340,2869720.63,Gas,61.17656075
Frank M Tait IC,-30251,Internal Combustion,10,49,0.06,100000,0,58919.71,35936,94855.71,Oil,1202.443061
Franklin Fine Paper,-3411,Steam Turbine,36.1,253514,80.17,4765.22,3002792.22,374545.69,1829139.85,5206477.77,Biomass,13.32209626
Franklin Fine Paper CT,-3412,Gas Turbine,59.5,0,0,11315,0,0,272735.92,272735.92,Gas,#DIV/0!
Franklin Park Solar,-18948,Solar,0.05,NA,NA,NA,NA,NA,1321.77,NA,Solar,#VALUE!
Frederick County LFGTE Facility,-47918,Internal Combustion,2,11762,67.13,11611.63,159201.63,479866.66,23132.51,662200.79,Biomass,54.33330131
Freehold Solar,-18949,Solar,0.22,NA,NA,NA,NA,NA,5815.77,NA,Solar,#VALUE!
French Paper Company - Hydro,-3437,Hydraulic Turbine,1.2,8591,81.73,NA,43818.59,0,129941.49,173760.08,Water,5.10052264
French’s Landfill Solar Project,-83914,Solar,5,NA,NA,NA,NA,NA,132176.61,NA,Solar,#VALUE!
Frenchtown I Solar Project,-33334,Solar,3,4878,18.56,NA,0,0,79305.97,79305.97,Solar,0
Frenchtown II Solar Project,-35251,Solar,3,4675,17.79,NA,0,0,79305.97,79305.97,Solar,0
Frenchtown III Solar Project,-68264,Solar,7.9,13545,19.57,NA,0,0,208839.05,208839.05,Solar,0
Frey Farm Landfill,-99215,Internal Combustion,3.2,14054,50.14,11084.18,201475.39,635669.58,36362.32,873507.29,Biomass,59.56631351
Fries Hydroelectric Project,-66854,Hydraulic Turbine,5,26785,61.15,NA,348469.08,0,345472.73,693941.81,Water,13.00985925
Fries Hydroelectric Project,-3440,Hydraulic Turbine,5,26785,61.15,NA,348469.08,0,345472.73,693941.81,Water,13.00985925
G&S Wantage Solar Farm,-74962,Solar,7.5,9499,14.46,NA,0,0,198264.92,198264.92,Solar,0
G&S Wantage Solar Farm,-74947,Solar,7.5,9499,14.46,NA,0,0,198264.92,198264.92,Solar,0
G&S Wantage Solar Farm,-74945,Solar,7.5,9499,14.46,NA,0,0,198264.92,198264.92,Solar,0
Galion Generating Station,-9028,Gas Turbine,49.5,1285,0.3,16799.22,71412.9,61105.31,196659.49,329177.71,Gas,103.1270117
Galion IC,-15020,Internal Combustion,5.4,202,0.43,10336.63,59623.71,25089.7,62132.92,146846.33,Oil,419.3733168
Garrison Energy Center,-32731,Combined Cycle,324,504543,30.32,7094.5,1270188.63,10982599.76,2679320.27,14932108.66,Gas,24.28492396
Garysburg Solar,-105492,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
Gaston,-3487,Hydraulic Turbine,220,316933,16.45,NA,477729,139270,531679,1148678,Water,1.94678055
Gaston Solar Project,-105491,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
Gates Solar Project,-70533,Solar,5,NA,NA,NA,NA,NA,11225.96,NA,Solar,#VALUE!
Gateway Gen,-3490,Internal Combustion,3.4,81,0.27,14111.11,37843.35,13729.64,32503.49,84076.49,Oil,636.7035802
Gauley River Hydro (Summersville),-66856,Hydraulic Turbine,80,204711,29.21,NA,1043254.08,0,659135.52,1702389.6,Water,5.096228732
Gauley River Hydro (Summersville),-10217,Hydraulic Turbine,80,204711,29.21,NA,1043254.08,0,659135.52,1702389.6,Water,5.096228732
Gen J M Gavin,-71355,Steam Turbine,2598,14171621,62.27,9904.11,35446016.58,330593515,75592414.03,441631945.6,Coal,25.82905171
General Electric Company,-3510,Internal Combustion,4.3,10800,28.67,13672.31,163771.66,1774329.48,36578.62,1974679.77,Oil,179.4538093
General Mills West Chicago,-3513,Internal Combustion,6.4,0,0,10704.51,0,125295.55,55967.31,181262.86,Gas,#DIV/0!
Geneva Biomass Project,-33326,Internal Combustion,4,21821,62.27,12048.16,303046.28,914879.42,51462.55,1269388.25,Biomass,55.81438523
Geneva Electric Generation Project,-109202,Internal Combustion,29,4529,1.78,8720.47,175977.83,116499.46,376027.09,668504.38,Gas,64.57877898
Genoa Diesel Generating Station,-12669,Internal Combustion,6,225,0.43,10373.33,65514.87,28086.52,71996.29,165597.68,Oil,416.0061778
Georgetown,-107916,Gas Turbine,276,119918,4.96,12966.44,2582845,5274286.19,23066505,30923636.19,Gas,65.52086584
Georgetown,-107915,Gas Turbine,276,119918,4.96,12966.44,2582845,5274286.19,23066505,30923636.19,Gas,65.52086584
Georgetown,-9480,Gas Turbine,276,119918,4.96,12966.44,2582845,5274286.19,23066505,30923636.19,Gas,65.52086584
Gerrard Berman Day School Solar,-82732,Solar,0.1,NA,NA,NA,NA,NA,2643.53,NA,Solar,#VALUE!
Gerresheimer Glass Solar Facility,-65521,Solar,2.3,3613,17.93,NA,0,0,60801.24,60801.24,Solar,0
Gettysburg Energy & Nutrient Recovery Facility (GENRF),-68231,Steam Turbine,2.7,0,0,10474,0,187770.96,157472.27,345243.23,Biomass,#DIV/0!
Gibson,-10593,Steam Turbine,3157,14585886,52.74,10490.71,53400508,368235295.6,111584692,533220495.6,Coal,28.90710949
Gibson,-3559,Steam Turbine,3157,14585886,52.74,10490.71,53400508,368235295.6,111584692,533220495.6,Coal,28.90710949
Gibson,-3558,Steam Turbine,3157,14585886,52.74,10490.71,53400508,368235295.6,111584692,533220495.6,Coal,28.90710949
Gilbert CC,-107087,Combined Cycle,332,28749,0.99,13924.16,231059.42,1165668.35,6035566.14,7432293.91,Gas,48.58352534
Gilbert CT,-107097,Gas Turbine,167,6051,0.33,16449.35,235356.53,477715.81,646402.95,1359475.29,Gas,117.8437184
GKS Solar Farm,-79300,Solar,5,1249,6.8,NA,0,0,55405.54,55405.54,Solar,0
Glades Pike Cogeneration Plant (CT),-104003,Gas Turbine,2.5,3150,14.38,13888.89,8957.78,176949.5,19807.83,205715.11,Biomass,59.01818413
Glades Pike Cogeneration Plant IC,-99000,Internal Combustion,2.8,17079,69.63,7791.09,233778.28,538164.9,34334.58,806277.76,Biomass,45.19838281
Glasgow Regional Landfill,-98944,Internal Combustion,1,199,26.75,12562.81,2288.3,9100,2986.88,14375.18,Biomass,57.22763819
Glen Ferris Hydro,-111550,Hydraulic Turbine,6.2,25680,47.28,NA,391695.48,0,433443.19,825138.67,Water,15.25293925
Glen Ferris Hydro,-111549,Hydraulic Turbine,6.2,25680,47.28,NA,391695.48,0,433443.19,825138.67,Water,15.25293925
Glen Meadows Retirement Community Solar Project,-74473,Solar,1.2,NA,NA,NA,NA,NA,31722.39,NA,Solar,#VALUE!
Glendon Plant,-99241,Internal Combustion,3.2,20014,71.4,10115.32,272650.57,954544.5,39610.78,1266805.85,Biomass,61.31683172
Glendora Solar,-18950,Solar,0.05,NA,NA,NA,NA,NA,1321.77,NA,Solar,#VALUE!
Glendora Solar,-13667,Solar,0.05,NA,NA,NA,NA,NA,1321.77,NA,Solar,#VALUE!
GM Lordstown Assembly Solar Array,-95556,Solar,1.7,2291,15.38,NA,0,0,44940.05,44940.05,Solar,0
Godwin Drive,-3604,Internal Combustion,6,188,0.36,10212.77,57694.22,23068.58,62900.6,143663.4,Oil,429.5893617
Gordonsville Power Plant,-8893,Combined Cycle,268,1150024,48.99,8401.41,3844308,34200155.42,1974900,40019363.42,Gas,33.08145171
Gould Street,-72861,Steam Turbine,97,20493,2.41,13434.78,769098.62,801703.29,2104877.28,3675679.19,Gas,76.65065681
Grand Ridge Battery Projects,-98982,Other,33,NA,NA,NA,NA,NA,NA,NA,Other Nonrenewable,#VALUE!
Grand Ridge Solar Project,-25273,Solar,20,30142,17.2,NA,0,0,528706.45,528706.45,Solar,0
Grand Ridge Wind Energy Center,-14048,Wind Turbine,210,566926,30.82,NA,1085036.39,0,3709209.01,4794245.39,Wind,1.913894212
Grant Town Cogen,-88359,Steam Turbine,80,515588,73.57,14005.79,1615462.85,12511636.76,1495492.53,15622592.14,Coal,27.39997752
Grant Town Cogen,-78287,Steam Turbine,80,515588,73.57,14005.79,1615462.85,12511636.76,1495492.53,15622592.14,Coal,27.39997752
Grant Town Cogen,-10833,Steam Turbine,80,515588,73.57,14005.79,1615462.85,12511636.76,1495492.53,15622592.14,Coal,27.39997752
Grant Town Cogen,-9166,Steam Turbine,80,515588,73.57,14005.79,1615462.85,12511636.76,1495492.53,15622592.14,Coal,27.39997752
Gravel Neck,-3673,Gas Turbine,428,91268,2.43,12823.56,561600.01,5079778.43,1442445.64,7083824.08,Gas,61.81113249
Grays Ferry Cogeneration,-12847,Combined Cycle,170,1054756,70.83,5282.5,1505145.53,16224411.23,2850245.86,20579802.63,Gas,16.80915469
Great Falls Hydroelectric Project,-83899,Hydraulic Turbine,10.8,9542,10.09,NA,462080.2,0,182594.96,644675.15,Water,48.42592748
Greater Lebanon Refuse Authority Landfill,-99217,Internal Combustion,3.2,15408,54.97,11007.46,217573.26,635136.32,37012.01,889721.59,Biomass,55.34200286
Green Farm,-87615,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
Green Knight Energy Center,-12612,Gas Turbine,8.7,30815,40.43,20810.19,43248.73,2720517.8,69174.91,2832941.44,Biomass,89.68899984
Green Machine Plant,-87292,Fuel Cell,1.6,9035,64.46,6841.84,415942.58,180002.43,0,595945.02,Gas,65.95960266
